label,key
lh_G_and_S_frontomargin,left_hemisphere_fronto_marginal_gyrus_and_sulcus.combat
lh_G_and_S_occipital_inf,left_hemisphere_inferior_occipital_gyrus_and_sulcus.combat
lh_G_and_S_paracentral,left_hemisphere_paracentral_lobule_and_sulcus.combat
lh_G_and_S_subcentral,left_hemisphere_subcentral_gyrus_and_sulci.combat
lh_G_and_S_transv_frontopol,left_hemisphere_transverse_frontopolar_gyri_and_sulci.combat
lh_G_front_inf-Opercular,left_hemisphere_opercular_part_of_the_inferior_frontal_gyrus.combat
lh_G_front_inf-Orbital,left_hemisphere_orbital_part_of_the_inferior_frontal_gyrus.combat
lh_G_front_inf-Triangul,left_hemisphere_triangular_part_of_the_inferior_frontal_gyrus.combat
lh_G_front_middle,left_hemisphere_middle_frontal_gyrus.combat
lh_G_front_sup,left_hemisphere_superior_frontal_gyrus.combat
lh_G_Ins_lg_and_S_cent_ins,left_hemisphere_long_insular_gyrus_and_central_sulcus_of_the_insula.combat
lh_G_insular_short,left_hemisphere_short_insular_gyri.combat
lh_G_occipital_middle,left_hemisphere_middle_occipital_gyrus.combat
lh_G_oc-temp_lat-fusifor,left_hemisphere_lateral_occipito_temporal_gyrus.combat
lh_G_orbital,left_hemisphere_orbital_gyri.combat
lh_G_pariet_inf-Angular,left_hemisphere_angular_gyrus.combat
lh_G_pariet_inf-Supramar,left_hemisphere_supramarginal_gyrus.combat
lh_G_parietal_sup,left_hemisphere_superior_parietal_lobule.combat
lh_G_postcentral,left_hemisphere_postcentral_gyrus.combat
lh_G_precentral,left_hemisphere_precentral_gyrus.combat
lh_G_temp_sup-G_T_transv,left_hemisphere_anterior_transverse_temporal_gyrus.combat
lh_G_temp_sup-Lateral,left_hemisphere_lateral_aspect_of_the_superior_temporal_gyrus.combat
lh_G_temp_sup-Plan_polar,left_hemisphere_planum_polare_of_the_superior_temporal_gyrus.combat
lh_G_temp_sup-Plan_tempo,left_hemisphere_planum_temporale.combat
lh_G_temporal_inf,left_hemisphere_inferior_temporal_gyrus.combat
lh_G_temporal_middle,left_hemisphere_middle_temporal_gyrus.combat
lh_Lat_Fis-ant-Horizont,left_hemisphere_horizontal_ramus_of_the_anterior_segment_of_the_lateral_sulcus.combat
lh_Lat_Fis-ant-Vertical,left_hemisphere_vertical_ramus_of_the_anterior_segment_of_the_lateral_sulcus.combat
lh_Lat_Fis-post,left_hemisphere_posterior_ramus_of_the_lateral_sulcus.combat
lh_Pole_occipital,left_hemisphere_occipital_pole.combat
lh_Pole_temporal,left_hemisphere_temporal_pole.combat
lh_S_central,left_hemisphere_central_sulcus.combat
lh_S_circular_insula_ant,left_hemisphere_anterior_segment_of_the_circular_sulcus_of_the_insula.combat
lh_S_circular_insula_inf,left_hemisphere_inferior_segment_of_the_circular_sulcus_of_the_insula.combat
lh_S_circular_insula_sup,left_hemisphere_superior_segment_of_the_circular_sulcus_of_the_insula.combat
lh_S_front_inf,left_hemisphere_inferior_frontal_sulcus.combat
lh_S_front_middle,left_hemisphere_middle_frontal_sulcus.combat
lh_S_front_sup,left_hemisphere_superior_frontal_sulcus.combat
lh_S_interm_prim-Jensen,left_hemisphere_sulcus_intermedius_primus.combat
lh_S_intrapariet_and_P_trans,left_hemisphere_intraparietal_sulcus_and_transverse_parietal_sulci.combat
lh_S_oc_middle_and_Lunatus,left_hemisphere_middle_occipital_sulcus_and_lunatus_sulcus.combat
lh_S_oc_sup_and_transversal,left_hemisphere_superior_occipital_sulcus_and_transverse_occipital_sulcus.combat
lh_S_occipital_ant,left_hemisphere_anterior_occipital_sulcus_and_preoccipital_notch.combat
lh_S_oc-temp_lat,left_hemisphere_lateral_occipito_temporal_sulcus.combat
lh_S_orbital_lateral,left_hemisphere_lateral_orbital_sulcus.combat
lh_S_orbital-H_Shaped,left_hemisphere_orbital_sulci.combat
lh_S_postcentral,left_hemisphere_postcentral_sulcus.combat
lh_S_precentral-inf-part,left_hemisphere_inferior_part_of_the_precentral_sulcus.combat
lh_S_precentral-sup-part,left_hemisphere_superior_part_of_the_precentral_sulcus.combat
lh_S_temporal_inf,left_hemisphere_inferior_temporal_sulcus.combat
lh_S_temporal_sup,left_hemisphere_superior_temporal_sulcus.combat
lh_S_temporal_transverse,left_hemisphere_transverse_temporal_sulcus.combat
lh_G_and_S_cingul-Ant,left_hemisphere_anterior_part_of_the_cingulate_gyrus_and_sulcus.combat
lh_G_and_S_cingul-Mid-Ant,left_hemisphere_middle_anterior_part_of_the_cingulate_gyrus_and_sulcus.combat
lh_G_and_S_cingul-Mid-Post,left_hemisphere_middle_posterior_part_of_the_cingulate_gyrus_and_sulcus.combat
lh_G_cingul-Post-dorsal,left_hemisphere_posterior_dorsal_part_of_the_cingulate_gyrus.combat
lh_G_cingul-Post-ventral,left_hemisphere_posterior_ventral_part_of_the_cingulate_gyrus.combat
lh_G_cuneus,left_hemisphere_cuneus.combat
lh_G_occipital_sup,left_hemisphere_superior_occipital_gyrus.combat
lh_G_oc-temp_med-Lingual,left_hemisphere_lingual_gyrus.combat
lh_G_oc-temp_med-Parahip,left_hemisphere_parahippocampal_gyrus.combat
lh_G_precuneus,left_hemisphere_precuneus.combat
lh_G_rectus,left_hemisphere_gyrus_rectus.combat
lh_G_subcallosal,left_hemisphere_subcallosal_gyrus.combat
lh_S_calcarine,left_hemisphere_calcarine_sulcus.combat
lh_S_cingul-Marginalis,left_hemisphere_marginal_branch_of_the_cingulate_sulcus.combat
lh_S_collat_transv_ant,left_hemisphere_anterior_transverse_collateral_sulcus.combat
lh_S_collat_transv_post,left_hemisphere_posterior_transverse_collateral_sulcus.combat
lh_S_oc-temp_med_and_Lingual,left_hemisphere_medial_occipito_temporal_sulcus_and_lingual_sulcus.combat
lh_S_orbital_med-olfact,left_hemisphere_medial_orbital_sulcus.combat
lh_S_parieto_occipital,left_hemisphere_parieto_occipital_sulcus.combat
lh_S_pericallosal,left_hemisphere_pericallosal_sulcus.combat
lh_S_suborbital,left_hemisphere_suborbital_sulcus.combat
lh_S_subparietal,left_hemisphere_subparietal_sulcus.combat
rh_G_and_S_frontomargin,right_hemisphere_fronto_marginal_gyrus_and_sulcus.combat
rh_G_and_S_paracentral,right_hemisphere_paracentral_lobule_and_sulcus.combat
rh_G_and_S_transv_frontopol,right_hemisphere_transverse_frontopolar_gyri_and_sulci.combat
rh_G_and_S_cingul-Ant,right_hemisphere_anterior_part_of_the_cingulate_gyrus_and_sulcus.combat
rh_G_and_S_cingul-Mid-Ant,right_hemisphere_middle_anterior_part_of_the_cingulate_gyrus_and_sulcus.combat
rh_G_and_S_cingul-Mid-Post,right_hemisphere_middle_posterior_part_of_the_cingulate_gyrus_and_sulcus.combat
rh_G_cingul-Post-dorsal,right_hemisphere_posterior_dorsal_part_of_the_cingulate_gyrus.combat
rh_G_cingul-Post-ventral,right_hemisphere_posterior_ventral_part_of_the_cingulate_gyrus.combat
rh_G_cuneus,right_hemisphere_cuneus.combat
rh_G_front_sup,right_hemisphere_superior_frontal_gyrus.combat
rh_G_occipital_sup,right_hemisphere_superior_occipital_gyrus.combat
rh_G_oc-temp_lat-fusifor,right_hemisphere_lateral_occipito_temporal_gyrus.combat
rh_G_oc-temp_med-Lingual,right_hemisphere_lingual_gyrus.combat
rh_G_oc-temp_med-Parahip,right_hemisphere_parahippocampal_gyrus.combat
rh_G_orbital,right_hemisphere_orbital_gyri.combat
rh_G_parietal_sup,right_hemisphere_superior_parietal_lobule.combat
rh_G_precuneus,right_hemisphere_precuneus.combat
rh_G_rectus,right_hemisphere_gyrus_rectus.combat
rh_G_subcallosal,right_hemisphere_subcallosal_gyrus.combat
rh_G_temp_sup-Plan_polar,right_hemisphere_planum_polare_of_the_superior_temporal_gyrus.combat
rh_Pole_occipital,right_hemisphere_occipital_pole.combat
rh_Pole_temporal,right_hemisphere_temporal_pole.combat
rh_S_calcarine,right_hemisphere_calcarine_sulcus.combat
rh_S_cingul-Marginalis,right_hemisphere_marginal_branch_of_the_cingulate_sulcus.combat
rh_S_collat_transv_ant,right_hemisphere_anterior_transverse_collateral_sulcus.combat
rh_S_collat_transv_post,right_hemisphere_posterior_transverse_collateral_sulcus.combat
rh_S_oc-temp_med_and_Lingual,right_hemisphere_medial_occipito_temporal_sulcus_and_lingual_sulcus.combat
rh_S_orbital_med-olfact,right_hemisphere_medial_orbital_sulcus.combat
rh_S_parieto_occipital,right_hemisphere_parieto_occipital_sulcus.combat
rh_S_pericallosal,right_hemisphere_pericallosal_sulcus.combat
rh_S_suborbital,right_hemisphere_suborbital_sulcus.combat
rh_S_subparietal,right_hemisphere_subparietal_sulcus.combat
rh_G_and_S_occipital_inf,right_hemisphere_inferior_occipital_gyrus_and_sulcus.combat
rh_G_and_S_subcentral,right_hemisphere_subcentral_gyrus_and_sulci.combat
rh_G_front_inf-Opercular,right_hemisphere_opercular_part_of_the_inferior_frontal_gyrus.combat
rh_G_front_inf-Orbital,right_hemisphere_orbital_part_of_the_inferior_frontal_gyrus.combat
rh_G_front_inf-Triangul,right_hemisphere_triangular_part_of_the_inferior_frontal_gyrus.combat
rh_G_front_middle,right_hemisphere_middle_frontal_gyrus.combat
rh_G_Ins_lg_and_S_cent_ins,right_hemisphere_long_insular_gyrus_and_central_sulcus_of_the_insula.combat
rh_G_insular_short,right_hemisphere_short_insular_gyri.combat
rh_G_occipital_middle,right_hemisphere_middle_occipital_gyrus.combat
rh_G_pariet_inf-Angular,right_hemisphere_angular_gyrus.combat
rh_G_pariet_inf-Supramar,right_hemisphere_supramarginal_gyrus.combat
rh_G_postcentral,right_hemisphere_postcentral_gyrus.combat
rh_G_precentral,right_hemisphere_precentral_gyrus.combat
rh_G_temp_sup-G_T_transv,right_hemisphere_anterior_transverse_temporal_gyrus.combat
rh_G_temp_sup-Lateral,right_hemisphere_lateral_aspect_of_the_superior_temporal_gyrus.combat
rh_G_temp_sup-Plan_tempo,right_hemisphere_planum_temporale.combat
rh_G_temporal_inf,right_hemisphere_inferior_temporal_gyrus.combat
rh_G_temporal_middle,right_hemisphere_middle_temporal_gyrus.combat
rh_Lat_Fis-ant-Horizont,right_hemisphere_horizontal_ramus_of_the_anterior_segment_of_the_lateral_sulcus.combat
rh_Lat_Fis-ant-Vertical,right_hemisphere_vertical_ramus_of_the_anterior_segment_of_the_lateral_sulcus.combat
rh_Lat_Fis-post,right_hemisphere_posterior_ramus_of_the_lateral_sulcus.combat
rh_S_central,right_hemisphere_central_sulcus.combat
rh_S_circular_insula_ant,right_hemisphere_anterior_segment_of_the_circular_sulcus_of_the_insula.combat
rh_S_circular_insula_inf,right_hemisphere_inferior_segment_of_the_circular_sulcus_of_the_insula.combat
rh_S_circular_insula_sup,right_hemisphere_superior_segment_of_the_circular_sulcus_of_the_insula.combat
rh_S_front_inf,right_hemisphere_inferior_frontal_sulcus.combat
rh_S_front_middle,right_hemisphere_middle_frontal_sulcus.combat
rh_S_front_sup,right_hemisphere_superior_frontal_sulcus.combat
rh_S_interm_prim-Jensen,right_hemisphere_sulcus_intermedius_primus.combat
rh_S_intrapariet_and_P_trans,right_hemisphere_intraparietal_sulcus_and_transverse_parietal_sulci.combat
rh_S_oc_middle_and_Lunatus,right_hemisphere_middle_occipital_sulcus_and_lunatus_sulcus.combat
rh_S_oc_sup_and_transversal,right_hemisphere_superior_occipital_sulcus_and_transverse_occipital_sulcus.combat
rh_S_occipital_ant,right_hemisphere_anterior_occipital_sulcus_and_preoccipital_notch.combat
rh_S_oc-temp_lat,right_hemisphere_lateral_occipito_temporal_sulcus.combat
rh_S_orbital_lateral,right_hemisphere_lateral_orbital_sulcus.combat
rh_S_orbital-H_Shaped,right_hemisphere_orbital_sulci.combat
rh_S_postcentral,right_hemisphere_postcentral_sulcus.combat
rh_S_precentral-inf-part,right_hemisphere_inferior_part_of_the_precentral_sulcus.combat
rh_S_precentral-sup-part,right_hemisphere_superior_part_of_the_precentral_sulcus.combat
rh_S_temporal_inf,right_hemisphere_inferior_temporal_sulcus.combat
rh_S_temporal_sup,right_hemisphere_superior_temporal_sulcus.combat
rh_S_temporal_transverse,right_hemisphere_transverse_temporal_sulcus.combat
Left-Thalamus-Proper,left_thalamus_proper.combat
Right-Thalamus-Proper,right_thalamus_proper.combat
Left-Hippocampus,left_hippocampus.combat
Right-Putamen,right_putamen.combat
Right-Amygdala,right_amygdala.combat
Left-Putamen,left_putamen.combat
Right-VentralDC,right_ventraldc.combat
Left-VentralDC,left_ventraldc.combat
Right-Hippocampus,right_hippocampus.combat
Left-Amygdala,left_amygdala.combat
Left-Pallidum,left_pallidum.combat
Right-Pallidum,right_pallidum.combat
Left-Caudate,left_caudate.combat
Right-Caudate,right_caudate.combat
